country,lvl1,lvl2,lvl3
Brasil,Rio Grande do Norte,Baía Formosa,
Brasil,Bahia,Baianópolis,
Brasil,Pará,Baião,
Brasil,Bahia,Baixa Grande,
Brasil,Piauí,Baixa Grande do Ribeiro,
Brasil,Ceará,Baixio,
Brasil,Espírito Santo,Baixo Guandu,
Brasil,São Paulo,Balbinos,
Brasil,Minas Gerais,Baldim,
Brasil,Goiás,Baliza,
Brasil,Santa Catarina,Balneário Arroio do Silva,
Brasil,Santa Catarina,Balneário Barra do Sul,
Brasil,Santa Catarina,Balneário Camboriú,
Brasil,Santa Catarina,Balneário Gaivota,
Brasil,Santa Catarina,Balneário Piçarras,
Brasil,Rio Grande do Sul,Balneário Pinhal,
Brasil,Santa Catarina,Balneário Rincão,
Brasil,Paraná,Balsa Nova,
Brasil,São Paulo,Bálsamo,
Brasil,Maranhão,Balsas,
Brasil,Minas Gerais,Bambuí,
Brasil,Ceará,Banabuiú,
Brasil,São Paulo,Bananal,
Brasil,Paraíba,Bananeiras,
Brasil,Minas Gerais,Bandeira,
Brasil,Minas Gerais,Bandeira do Sul,
Brasil,Santa Catarina,Bandeirante,
Brasil,Mato Grosso do Sul,Bandeirantes,
Brasil,Paraná,Bandeirantes,
Brasil,Tocantins,Bandeirantes do Tocantins,
Brasil,Pará,Bannach,
Brasil,Bahia,Banzaê,
Brasil,Rio Grande do Sul,Barão,
Brasil,São Paulo,Barão de Antonina,
Brasil,Minas Gerais,Barão de Cocais,
Brasil,Rio Grande do Sul,Barão de Cotegipe,
Brasil,Maranhão,Barão de Grajaú,
Brasil,Mato Grosso,Barão de Melgaço,
Brasil,Minas Gerais,Barão de Monte Alto,
Brasil,Rio Grande do Sul,Barão do Triunfo,
Brasil,Rio Grande do Norte,Baraúna,
Brasil,Paraíba,Baraúna,
Brasil,Minas Gerais,Barbacena,
Brasil,Ceará,Barbalha,
Brasil,São Paulo,Barbosa,
Brasil,Paraná,Barbosa Ferraz,
Brasil,Pará,Barcarena,
Brasil,Rio Grande do Norte,Barcelona,
Brasil,Amazonas,Barcelos,
Brasil,São Paulo,Bariri,
Brasil,Bahia,Barra,
Brasil,Santa Catarina,Barra Bonita,
Brasil,São Paulo,Barra Bonita,
Brasil,Piauí,Barra D'Alcântara,
Brasil,Bahia,Barra da Estiva,
Brasil,Pernambuco,Barra de Guabiraba,
Brasil,Paraíba,Barra de Santa Rosa,
Brasil,Paraíba,Barra de Santana,
Brasil,Alagoas,Barra de Santo Antônio,
Brasil,Espírito Santo,Barra de São Francisco,
Brasil,Paraíba,Barra de São Miguel,
Brasil,Alagoas,Barra de São Miguel,
Brasil,Mato Grosso,Barra do Bugres,
Brasil,São Paulo,Barra do Chapéu,
Brasil,Bahia,Barra do Choça,
Brasil,Maranhão,Barra do Corda,
Brasil,Mato Grosso,Barra do Garças,
Brasil,Rio Grande do Sul,Barra do Guarita,
Brasil,Paraná,Barra do Jacaré,
Brasil,Bahia,Barra do Mendes,
Brasil,Tocantins,Barra do Ouro,
Brasil,Rio de Janeiro,Barra do Piraí,
Brasil,Rio Grande do Sul,Barra do Quaraí,
Brasil,Rio Grande do Sul,Barra do Ribeiro,
Brasil,Rio Grande do Sul,Barra do Rio Azul,
Brasil,Bahia,Barra do Rocha,
Brasil,São Paulo,Barra do Turvo,
Brasil,Sergipe,Barra dos Coqueiros,
Brasil,Rio Grande do Sul,Barra Funda,
Brasil,Minas Gerais,Barra Longa,
Brasil,Rio de Janeiro,Barra Mansa,
Brasil,Santa Catarina,Barra Velha,
Brasil,Rio Grande do Sul,Barracão,
Brasil,Paraná,Barracão,
Brasil,Piauí,Barras,
Brasil,Ceará,Barreira,
Brasil,Bahia,Barreiras,
Brasil,Piauí,Barreiras do Piauí,
Brasil,Amazonas,Barreirinha,
Brasil,Maranhão,Barreirinhas,
Brasil,Pernambuco,Barreiros,
Brasil,São Paulo,Barretos,
Brasil,São Paulo,Barrinha,
Brasil,Ceará,Barro,
Brasil,Bahia,Barro Alto,
Brasil,Goiás,Barro Alto,
Brasil,Piauí,Barro Duro,
Brasil,Bahia,Barro Preto,
Brasil,Bahia,Barrocas,
Brasil,Tocantins,Barrolândia,
Brasil,Ceará,Barroquinha,
Brasil,Rio Grande do Sul,Barros Cassal,
Brasil,Minas Gerais,Barroso,
Brasil,São Paulo,Barueri,
Brasil,São Paulo,Bastos,
Brasil,Mato Grosso do Sul,Bataguassu,
Brasil,Piauí,Batalha,
Brasil,Alagoas,Batalha,
Brasil,São Paulo,Batatais,
Brasil,Mato Grosso do Sul,Batayporã,
Brasil,Ceará,Baturité,
Brasil,São Paulo,Bauru,
Brasil,Paraíba,Bayeux,
Brasil,São Paulo,Bebedouro,
Brasil,Ceará,Beberibe,
Brasil,Ceará,Bela Cruz,
Brasil,Mato Grosso do Sul,Bela Vista,
Brasil,Paraná,Bela Vista da Caroba,
Brasil,Goiás,Bela Vista de Goiás,
Brasil,Minas Gerais,Bela Vista de Minas,
Brasil,Maranhão,Bela Vista do Maranhão,
Brasil,Paraná,Bela Vista do Paraíso,
Brasil,Piauí,Bela Vista do Piauí,
Brasil,Santa Catarina,Bela Vista do Toldo,
Brasil,Maranhão,Belágua,
Brasil,Pará,Belém,
Brasil,Paraíba,Belém,
Brasil,Alagoas,Belém,
Brasil,Pernambuco,Belém de Maria,
Brasil,Paraíba,Belém do Brejo do Cruz,
Brasil,Piauí,Belém do Piauí,
Brasil,Pernambuco,Belém do São Francisco,
Brasil,Rio de Janeiro,Belford Roxo,
Brasil,Minas Gerais,Belmiro Braga,
Brasil,Santa Catarina,Belmonte,
Brasil,Bahia,Belmonte,
Brasil,Bahia,Belo Campo,
Brasil,Minas Gerais,Belo Horizonte,
Brasil,Pernambuco,Belo Jardim,
Brasil,Alagoas,Belo Monte,
Brasil,Minas Gerais,Belo Oriente,
Brasil,Minas Gerais,Belo Vale,
Brasil,Pará,Belterra,
Brasil,Piauí,Beneditinos,
Brasil,Maranhão,Benedito Leite,
Brasil,Santa Catarina,Benedito Novo,
Brasil,Pará,Benevides,
Brasil,Amazonas,Benjamin Constant,
Brasil,Rio Grande do Sul,Benjamin Constant do Sul,
Brasil,São Paulo,Bento de Abreu,
Brasil,Rio Grande do Norte,Bento Fernandes,
Brasil,Rio Grande do Sul,Bento Gonçalves,
Brasil,Maranhão,Bequimão,
Brasil,Minas Gerais,Berilo,
Brasil,Minas Gerais,Berizal,
Brasil,Paraíba,Bernardino Batista,
Brasil,São Paulo,Bernardino de Campos,
Brasil,Maranhão,Bernardo do Mearim,
Brasil,Tocantins,Bernardo Sayão,
Brasil,São Paulo,Bertioga,
Brasil,Piauí,Bertolínia,
Brasil,Minas Gerais,Bertópolis,
Brasil,Amazonas,Beruri,
Brasil,Pernambuco,Betânia,
Brasil,Piauí,Betânia do Piauí,
Brasil,Minas Gerais,Betim,
Brasil,Pernambuco,Bezerros,
Brasil,Minas Gerais,Bias Fortes,
Brasil,Minas Gerais,Bicas,
Brasil,Santa Catarina,Biguaçu,
Brasil,São Paulo,Bilac,
Brasil,Minas Gerais,Biquinhas,
Brasil,São Paulo,Birigui,
Brasil,São Paulo,Biritiba-Mirim,
Brasil,Bahia,Biritinga,
Brasil,Paraná,Bituruna,
Brasil,Santa Catarina,Blumenau,
Brasil,Paraná,Boa Esperança,
Brasil,Minas Gerais,Boa Esperança,
Brasil,Espírito Santo,Boa Esperança,
Brasil,Paraná,Boa Esperança do Iguaçu,
Brasil,São Paulo,Boa Esperança do Sul,
Brasil,Piauí,Boa Hora,
Brasil,Bahia,Boa Nova,
Brasil,Paraíba,Boa Ventura,
Brasil,Paraná,Boa Ventura de São Roque,
Brasil,Ceará,Boa Viagem,
Brasil,Roraima,Boa Vista,
Brasil,Paraíba,Boa Vista,
Brasil,Paraná,Boa Vista da Aparecida,
Brasil,Rio Grande do Sul,Boa Vista das Missões,
Brasil,Rio Grande do Sul,Boa Vista do Buricá,
Brasil,Rio Grande do Sul,Boa Vista do Cadeado,
Brasil,Maranhão,Boa Vista do Gurupi,
Brasil,Rio Grande do Sul,Boa Vista do Incra,
Brasil,Amazonas,Boa Vista do Ramos,
Brasil,Rio Grande do Sul,Boa Vista do Sul,
Brasil,Bahia,Boa Vista do Tupim,
Brasil,Alagoas,Boca da Mata,
Brasil,Amazonas,Boca do Acre,
Brasil,Piauí,Bocaina,
Brasil,São Paulo,Bocaina,
Brasil,Minas Gerais,Bocaina de Minas,
Brasil,Santa Catarina,Bocaina do Sul,
Brasil,Minas Gerais,Bocaiúva,
Brasil,Paraná,Bocaiúva do Sul,
Brasil,Rio Grande do Norte,Bodó,
Brasil,Pernambuco,Bodocó,
Brasil,Mato Grosso do Sul,Bodoquena,
Brasil,São Paulo,Bofete,
Brasil,São Paulo,Boituva,
Brasil,Pernambuco,Bom Conselho,
Brasil,Minas Gerais,Bom Despacho,
Brasil,Rio de Janeiro,Bom Jardim,
Brasil,Pernambuco,Bom Jardim,
Brasil,Maranhão,Bom Jardim,
Brasil,Santa Catarina,Bom Jardim da Serra,
Brasil,Goiás,Bom Jardim de Goiás,
Brasil,Minas Gerais,Bom Jardim de Minas,
Brasil,Santa Catarina,Bom Jesus,
Brasil,Rio Grande do Sul,Bom Jesus,
Brasil,Piauí,Bom Jesus,
Brasil,Rio Grande do Norte,Bom Jesus,
Brasil,Paraíba,Bom Jesus,
Brasil,Bahia,Bom Jesus da Lapa,
Brasil,Minas Gerais,Bom Jesus da Penha,
Brasil,Bahia,Bom Jesus da Serra,
Brasil,Maranhão,Bom Jesus das Selvas,
Brasil,Goiás,Bom Jesus de Goiás,
Brasil,Minas Gerais,Bom Jesus do Amparo,
